X Gaze Data, Y Gaze Data, Time 
1314,96,214070855
1313,96,214070866
1315,95,214070878
1317,92,214070889
1317,91,214070901
1316,91,214070911
1316,90,214070922
1315,89,214070933
1314,90,214070944
1314,90,214070958
1310,94,214070966
1310,94,214070979
1310,95,214070989
1311,97,214070999
1311,100,214071011
1312,103,214071022
1316,105,214071032
1327,108,214071043
1339,107,214071055
1362,104,214071066
1381,102,214071077
1401,100,214071088
1425,97,214071099
1435,96,214071110
1504,90,214071122
1507,93,214071132
1511,106,214071144
1506,94,214071161
1507,103,214071166
1507,105,214071177
1507,104,214071188
1504,107,214071199
1494,114,214071211
1495,114,214071223
1496,113,214071233
1495,113,214071244
1493,113,214071256
1492,114,214071266
1491,114,214071277
1490,118,214071288
1492,121,214071299
1495,124,214071310
1495,127,214071322
1495,129,214071332
1494,131,214071344
1495,133,214071355
1496,133,214071366
1497,134,214071377
1499,136,214071388
1500,140,214071399
1502,141,214071412
1516,146,214071424
1581,166,214071432
1590,168,214071445
1612,161,214071455
1613,161,214071466
1615,161,214071478
1617,159,214071488
1618,159,214071499
1623,154,214071510
1623,151,214071522
1622,149,214071532
1610,147,214071544
1587,145,214071555
1501,147,214071565
1218,153,214071577
1196,154,214071590
1179,156,214071599
1167,160,214071610
1146,164,214071621
1097,169,214071632
1084,167,214071644
1077,180,214071655
1080,180,214071666
1074,178,214071676
1075,180,214071692
1072,178,214071700
1073,177,214071711
1077,172,214071721
1079,171,214071732
1079,170,214071746
1080,170,214071755
1081,171,214071765
1084,170,214071776
1084,172,214071788
1085,172,214071799
1085,173,214071811
1085,173,214071822
1089,175,214071832
1098,176,214071843
1112,177,214071854
1134,178,214071865
1147,179,214071876
1176,183,214071890
1203,189,214071898
1221,193,214071909
1259,191,214071921
1261,189,214071932
1258,186,214071943
1258,191,214071955
1255,186,214071965
1250,185,214071976
1248,181,214071990
1245,180,214071998
1244,178,214072011
1245,179,214072022
1244,178,214072032
1245,178,214072043
1247,176,214072056
1307,180,214072066
1309,181,214072078
1311,181,214072088
1326,181,214072098
1330,181,214072109
1335,181,214072123
1345,183,214072132
1347,183,214072144
1349,182,214072154
1347,183,214072168
1350,182,214072176
1351,184,214072188
1352,185,214072199
1352,184,214072210
1354,184,214072221
1355,183,214072232
1355,181,214072243
1354,182,214072254
1357,178,214072273
1356,178,214072277
1356,177,214072287
1355,177,214072298
1352,175,214072309
1349,175,214072321
1390,178,214072331
1440,180,214072343
1445,179,214072354
1451,179,214072365
1467,176,214072376
1471,175,214072387
1475,175,214072398
1475,175,214072409
1478,170,214072420
1479,170,214072431
1480,172,214072443
1477,165,214072454
1480,166,214072464
1484,168,214072477
1481,164,214072490
1485,160,214072500
1487,160,214072511
1487,160,214072520
1490,160,214072531
1488,160,214072542
1494,158,214072554
1533,153,214072564
1549,151,214072576
1566,149,214072587
1575,147,214072598
1593,140,214072609
1601,135,214072649
1604,135,214072656
1615,140,214072661
1611,134,214072665
1614,138,214072669
1613,135,214072676
1612,133,214072687
1617,134,214072698
1624,139,214072710
1628,144,214072720
1626,145,214072732
1599,159,214072742
1567,164,214072754
1323,164,214072765
1294,165,214072776
1264,167,214072787
1241,169,214072798
1214,171,214072809
1108,173,214072820
1081,170,214072831
1081,177,214072843
1076,180,214072854
1076,181,214072864
1074,184,214072876
1075,184,214072888
1075,190,214072897
1075,195,214072909
1075,195,214072923
1076,194,214072932
1078,195,214072942
1075,196,214072958
1076,192,214072964
1075,191,214072976
1076,190,214072987
1080,185,214072997
1080,185,214073011
1079,187,214073021
1077,187,214073031
1071,187,214073042
1070,185,214073054
1068,183,214073064
1069,180,214073075
1077,182,214073087
1082,183,214073097
1156,175,214073109
1282,153,214073120
1289,151,214073130
1300,150,214073143
1308,152,214073166
1315,152,214073170
1331,150,214073177
1345,154,214073187
1344,154,214073198
1343,150,214073209
1342,149,214073220
1336,141,214073231
1334,140,214073242
1339,141,214073253
1341,142,214073264
1341,143,214073275
1339,143,214073287
1339,143,214073297
1337,143,214073308
1337,143,214073321
1336,142,214073332
1339,142,214073342
1339,142,214073353
1342,144,214073366
1349,152,214073375
1350,152,214073387
1350,153,214073398
1352,158,214073409
1352,157,214073420
1348,161,214073437
1349,166,214073442
1369,172,214073453
1521,182,214073464
1524,183,214073475
1531,182,214073486
1529,181,214073499
1533,180,214073509
1549,180,214073520
1583,177,214073530
1581,171,214073542
1580,171,214073553
1580,175,214073564
1582,177,214073576
1582,184,214073588
1580,191,214073604
1575,194,214073614
1570,193,214073620
1570,194,214073631
1572,193,214073642
1570,193,214073654
1572,193,214073667
1574,192,214073675
1587,185,214073687
1611,177,214073697
1622,174,214073709
1646,163,214073721
1650,162,214073731
1657,157,214073742
1659,156,214073753
1656,157,214073765
1645,158,214073775
1631,160,214073786
1508,176,214073797
1355,195,214073813
1316,201,214073825
1279,206,214073834
1251,209,214073843
1226,211,214073854
1148,220,214073863
1136,220,214073875
1134,218,214073886
1133,218,214073897
1132,212,214073909
1132,212,214073919
1130,212,214073930
1128,212,214073944
1126,212,214073953
1126,212,214073964
1123,214,214073975
1116,220,214073986
1115,221,214074001
1115,223,214074008
1120,225,214074019
1121,224,214074030
1142,224,214074043
1203,223,214074053
1264,217,214074063
1313,212,214074075
1355,213,214074086
1367,213,214074096
1382,213,214074110
1411,212,214074119
1418,211,214074131
1422,208,214074141
1428,210,214074153
1427,211,214074164
1433,210,214074175
1435,207,214074186
1440,203,214074196
1439,202,214074208
1437,198,214074219
1436,195,214074231
1436,194,214074241
1436,195,214074252
1434,196,214074263
1433,196,214074275
1431,197,214074286
1432,199,214074296
1465,203,214074311
1482,205,214074319
1487,206,214074331
1495,210,214074341
1515,214,214074352
1522,213,214074363
1530,214,214074374
1530,211,214074386
1528,213,214074397
1527,212,214074408
1526,210,214074419
1523,201,214074430
1523,202,214074441
1523,200,214074453
1529,202,214074463
1532,205,214074474
1532,207,214074487
1531,211,214074496
1531,213,214074507
1532,212,214074520
1533,213,214074530
1532,205,214074541
1534,205,214074552
1537,206,214074563
1544,201,214074574
1583,192,214074585
1590,190,214074596
1600,188,214074607
1631,194,214074619
1633,194,214074630
1636,197,214074641
1634,197,214074652
1631,197,214074668
1625,197,214074674
1603,198,214074685
1598,198,214074696
1513,202,214074709
1368,211,214074719
1295,212,214074730
1254,214,214074741
1201,214,214074752
1176,215,214074762
1135,215,214074775
1132,210,214074786
1134,211,214074796
1127,204,214074807
1128,206,214074819
1124,204,214074829
1124,200,214074841
1127,197,214074852
1132,191,214074862
1133,189,214074874
1133,191,214074889
1133,191,214074896
1134,191,214074907
1134,190,214074918
1134,191,214074931
1134,191,214074941
1134,191,214074954
1134,194,214074963
1134,195,214074974
1135,196,214074985
1136,196,214074998
1136,197,214075008
1138,197,214075019
1162,197,214075030
1222,202,214075040
1264,203,214075052
1284,202,214075062
1300,198,214075074
1320,197,214075085
1326,197,214075096
1331,196,214075107
1336,193,214075118
1335,193,214075129
1339,185,214075144
1339,185,214075156
1339,183,214075163
1338,182,214075174
1339,182,214075185
1340,181,214075196
1340,181,214075207
1339,180,214075219
1338,179,214075229
1337,180,214075240
1336,182,214075252
1336,184,214075263
1336,183,214075274
1334,186,214075288
1331,188,214075296
1328,189,214075307
1336,190,214075318
1428,188,214075330
1497,186,214075340
1496,187,214075353
1498,187,214075362
1505,187,214075374
1514,188,214075385
1519,189,214075395
1530,190,214075407
1534,188,214075418
1532,191,214075429
1532,192,214075440
1534,188,214075452
1534,187,214075462
1535,186,214075474
1538,186,214075485
1539,186,214075495
1547,192,214075508
1547,193,214075518
1546,192,214075529
1539,185,214075540
1536,182,214075551
1537,185,214075565
1537,186,214075574
1534,188,214075585
1533,190,214075595
1533,191,214075608
1537,191,214075618
1576,193,214075630
1590,189,214075650
1587,187,214075654
1588,186,214075662
1594,186,214075677
1602,192,214075685
1599,192,214075696
1593,194,214075707
1551,203,214075718
1256,207,214075733
1227,207,214075740
1218,206,214075751
1210,206,214075762
1198,206,214075774
1183,206,214075785
1074,205,214075798
1071,203,214075807
1076,196,214075818
1074,198,214075831
1077,198,214075841
1080,198,214075851
1086,199,214075863
1087,199,214075873
1087,199,214075884
1085,200,214075895
1082,200,214075907
1081,202,214075918
1082,202,214075929
1080,202,214075940
1080,202,214075951
1080,191,214075962
1079,192,214075974
1080,195,214075984
1079,199,214076001
1079,200,214076007
1084,202,214076022
1083,202,214076029
1082,202,214076041
1078,197,214076052
1076,194,214076063
1080,196,214076073
1099,197,214076085
1153,208,214076095
1215,219,214076108
1233,219,214076119
1241,218,214076129
1243,214,214076140
1252,214,214076151
1260,215,214076162
1264,215,214076173
1271,216,214076184
1275,214,214076195
1275,214,214076207
1274,214,214076218
1274,215,214076228
1274,216,214076240
1273,216,214076251
1274,217,214076262
1275,217,214076273
1275,220,214076284
1272,219,214076296
1272,219,214076307
1272,219,214076318
1271,220,214076328
1270,221,214076340
1270,223,214076352
1271,224,214076362
1281,215,214076373
1288,210,214076384
1346,215,214076396
1377,221,214076406
1389,222,214076418
1397,222,214076429
1403,222,214076440
1439,235,214076451
1448,238,214076462
1451,234,214076474
1447,237,214076485
1445,240,214076495
1442,243,214076506
1441,244,214076517
1444,249,214076528
1446,251,214076539
1447,251,214076551
1448,253,214076561
1449,254,214076573
1449,254,214076585
1449,253,214076596
1448,252,214076607
1449,251,214076617
1451,248,214076629
1456,246,214076639
1455,247,214076651
1451,248,214076666
1446,251,214076673
1447,251,214076684
1451,247,214076694
1455,245,214076706
1454,248,214076717
1479,252,214076728
1523,257,214076739
1561,254,214076750
1563,254,214076761
1565,254,214076773
1577,254,214076784
1582,255,214076795
1586,257,214076810
1590,250,214076817
1591,248,214076828
1595,243,214076839
1594,241,214076850
1594,240,214076865
1594,238,214076872
1590,239,214076884
1585,238,214076897
1583,238,214076906
1583,236,214076917
1590,237,214076929
1638,241,214076939
1645,242,214076952
1648,241,214076961
1649,240,214076972
1656,229,214076984
1660,227,214076995
1662,224,214077006
1660,218,214077019
1661,219,214077032
1655,216,214077039
1597,211,214077051
1309,221,214077061
1315,220,214077072
1301,223,214077084
1281,226,214077095
1268,227,214077106
1262,226,214077117
1118,233,214077128
1109,236,214077139
1110,235,214077151
1111,237,214077166
1112,244,214077173
1112,244,214077184
1111,245,214077195
1109,248,214077206
1109,249,214077218
1112,248,214077228
1113,250,214077243
